gtdb_species_clade_id,GTDB_species,GTDB_taxonomy,no_genomes,no_core,no_accessory,no_singletons,no_gene_clusters,no_CDSes,mean_intra_species_ANI,ANI_circumscription_radius,domain,phylum,class,order,family,genus,pct_core,pct_accessory,pct_singletons,openness,avg_genes_per_genome,rep_genome,in_tree
s__Geothrix_sp903857495--GB_GCA_903857495.1,s__Geothrix_sp903857495,d__Bacteria;p__Acidobacteriota;c__Holophagae;o__Holophagales;f__Holophagaceae;g__Geothrix,50,2610,398,260.0,3008,157849,99.99,95.0,Bacteria,Acidobacteriota,Holophagae,Holophagales,Holophagaceae,Geothrix,86.77,13.23,8.64,0.152,3157.0,GB_GCA_903857495.1,True
s__Geothrix_sp903913215--GB_GCA_903913215.1,s__Geothrix_sp903913215,d__Bacteria;p__Acidobacteriota;c__Holophagae;o__Holophagales;f__Holophagaceae;g__Geothrix,29,2447,7893,5211.0,10340,100679,98.58,95.0,Bacteria,Acidobacteriota,Holophagae,Holophagales,Holophagaceae,Geothrix,23.67,76.33,50.4,3.226,3472.0,GB_GCA_903913215.1,True
s__Rathayibacter_rathayi--RS_GCF_004011095.1,s__Rathayibacter_rathayi,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Rathayibacter,27,2232,1678,471.0,3910,84152,99.62,95.0,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Microbacteriaceae,Rathayibacter,57.08,42.92,12.05,0.752,3117.0,RS_GCF_004011095.1,True
s__Nanopelagicus_sp001437855--GB_GCA_001437855.1,s__Nanopelagicus_sp001437855,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Nanopelagicales;f__Nanopelagicaceae;g__Nanopelagicus,12,646,2586,1757.0,3232,12698,96.4,95.0,Bacteria,Actinomycetota,Actinomycetia,Nanopelagicales,Nanopelagicaceae,Nanopelagicus,19.99,80.01,54.36,4.003,1058.0,GB_GCA_001437855.1,True
s__Trueperella_pyogenes--RS_GCF_900460345.1,s__Trueperella_pyogenes,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Trueperella,23,1494,1888,963.0,3382,47794,98.53,95.0,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Actinomycetaceae,Trueperella,44.18,55.82,28.47,1.264,2078.0,RS_GCF_900460345.1,True
s__UBA4592_sp002469525--GB_GCA_002469525.1,s__UBA4592_sp002469525,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Nanopelagicales;f__S36-B12;g__UBA4592,10,1396,3473,2394.0,4869,21064,99.23,95.0,Bacteria,Actinomycetota,Actinomycetia,Nanopelagicales,S36-B12,UBA4592,28.67,71.33,49.17,2.488,2106.0,GB_GCA_002469525.1,True
s__Rhodococcus_aetherivorans--RS_GCF_011058165.1,s__Rhodococcus_aetherivorans,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Rhodococcus,18,3385,5667,3393.0,9052,105478,98.95,95.0,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Rhodococcus,37.4,62.6,37.48,1.674,5860.0,RS_GCF_011058165.1,True
s__Mobiluncus_curtisii--RS_GCF_000146285.1,s__Mobiluncus_curtisii,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Mobiluncus,18,1458,1004,380.0,2462,33386,98.67,95.0,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Actinomycetaceae,Mobiluncus,59.22,40.78,15.43,0.689,1855.0,RS_GCF_000146285.1,True
s__Slackia_A_isoflavoniconvertens--RS_GCF_003725955.1,s__Slackia_A_isoflavoniconvertens,d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Slackia_A,18,1183,4429,3118.0,5612,31469,96.82,95.0,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Slackia_A,21.08,78.92,55.56,3.744,1748.0,RS_GCF_003725955.1,True
s__Rhodococcus_sp000954115--RS_GCF_000954115.1,s__Rhodococcus_sp000954115,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Rhodococcus,13,3412,2944,974.0,6356,72915,98.26,95.0,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Rhodococcus,53.68,46.32,15.32,0.863,5609.0,RS_GCF_000954115.1,True
s__Bifidobacterium_pseudocatenulatum--RS_GCF_001025215.1,s__Bifidobacterium_pseudocatenulatum,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium,170,1264,11001,6380.0,12265,315808,98.09,95.0,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,10.31,89.69,52.02,8.703,1858.0,RS_GCF_001025215.1,True
s__Microbacterium_ginsengisoli--RS_GCF_000956535.1,s__Microbacterium_ginsengisoli,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium,10,1894,2666,1612.0,4560,28392,98.7,95.0,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Microbacteriaceae,Microbacterium,41.54,58.46,35.35,1.408,2839.0,RS_GCF_000956535.1,True
s__Corynebacterium_stationis--RS_GCF_001941345.1,s__Corynebacterium_stationis,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium,13,1802,3430,2331.0,5232,33452,97.86,95.0,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,34.44,65.56,44.55,1.903,2573.0,RS_GCF_001941345.1,True
s__Casp-actino8_sp009923785--GB_GCA_009923785.1,s__Casp-actino8_sp009923785,d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__Casp-actino8,11,1610,1879,1472.0,3489,25234,98.68,95.0,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Casp-actino8,46.15,53.85,42.19,1.167,2294.0,GB_GCA_009923785.1,True
s__Adlercreutzia_muris--RS_GCF_008831045.1,s__Adlercreutzia_muris,d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Adlercreutzia,10,1348,1984,1022.0,3332,22104,97.98,95.0,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Adlercreutzia,40.46,59.54,30.67,1.472,2210.0,RS_GCF_008831045.1,True
s__RAAP-2_sp903871335--GB_GCA_903871335.1,s__RAAP-2_sp903871335,d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__RAAP-2,25,1788,2140,1664.0,3928,54564,99.85,95.0,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,RAAP-2,RAAP-2,45.52,54.48,42.36,1.197,2183.0,GB_GCA_903871335.1,True
s__Mycobacterium_neoaurum--RS_GCF_000691525.1,s__Mycobacterium_neoaurum,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium,11,3378,3908,2533.0,7286,57233,99.0,95.0,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Mycobacterium,46.36,53.64,34.77,1.157,5203.0,RS_GCF_000691525.1,True
s__Kocuria_palustris--RS_GCF_016907795.1,s__Kocuria_palustris,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Kocuria,18,1813,2542,1474.0,4355,45293,98.19,95.0,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Kocuria,41.63,58.37,33.85,1.402,2516.0,RS_GCF_016907795.1,True
s__MAG-120802_sp010023045--GB_GCA_010023045.1,s__MAG-120802_sp010023045,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Nanopelagicales;f__Nanopelagicaceae;g__MAG-120802,12,840,3211,2279.0,4051,16454,98.95,95.0,Bacteria,Actinomycetota,Actinomycetia,Nanopelagicales,Nanopelagicaceae,MAG-120802,20.74,79.26,56.26,3.823,1371.0,GB_GCA_010023045.1,True
s__PALSA-747_sp903867285--GB_GCA_903867285.1,s__PALSA-747_sp903867285,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Nanopelagicales;f__Nanopelagicaceae;g__PALSA-747,12,745,3348,2118.0,4093,17180,98.56,95.0,Bacteria,Actinomycetota,Actinomycetia,Nanopelagicales,Nanopelagicaceae,PALSA-747,18.2,81.8,51.75,4.494,1432.0,GB_GCA_903867285.1,True
s__Kocuria_rhizophila--RS_GCF_003667225.1,s__Kocuria_rhizophila,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Kocuria,27,1789,2590,1334.0,4379,63314,97.73,95.0,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Kocuria,40.85,59.15,30.46,1.448,2345.0,RS_GCF_003667225.1,True
s__Collinsella_sp019041915--RS_GCF_019041915.1,s__Collinsella_sp019041915,d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella,10,1242,2232,1491.0,3474,18797,96.98,95.145,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,35.75,64.25,42.92,1.797,1880.0,RS_GCF_019041915.1,True
s__Mycobacterium_avium--RS_GCF_009741445.1,s__Mycobacterium_avium,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium,249,2911,31906,17753.0,34817,1252677,98.78,96.9043,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Mycobacterium,8.36,91.64,50.99,10.96,5031.0,RS_GCF_009741445.1,True
s__Bifidobacterium_dentium--RS_GCF_001042595.1,s__Bifidobacterium_dentium,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium,50,1402,4338,2383.0,5740,105212,98.93,95.0,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,24.43,75.57,41.52,3.094,2104.0,RS_GCF_001042595.1,True
s__Bifidobacterium_vaginale--RS_GCF_001042655.1,s__Bifidobacterium_vaginale,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium,60,989,3285,2087.0,4274,78598,98.4,95.0,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,23.14,76.86,48.83,3.322,1310.0,RS_GCF_001042655.1,True
s__Bifidobacterium_kashiwanohense_A--RS_GCF_000800455.1,s__Bifidobacterium_kashiwanohense_A,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium,38,1183,6491,3653.0,7674,73544,96.83,95.1942,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,15.42,84.58,47.6,5.487,1935.0,RS_GCF_000800455.1,True
s__Rothia_mucilaginosa_A--RS_GCF_001061665.1,s__Rothia_mucilaginosa_A,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Rothia,13,1376,1589,1186.0,2965,21923,97.34,95.0,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Rothia,46.41,53.59,40.0,1.155,1686.0,RS_GCF_001061665.1,True
s__RAAP-2_sp903825035--GB_GCA_903825035.1,s__RAAP-2_sp903825035,d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__RAAP-2,20,1013,3198,2284.0,4211,27923,98.4,95.0,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,RAAP-2,RAAP-2,24.06,75.94,54.24,3.157,1396.0,GB_GCA_903825035.1,True
s__Corynebacterium_glutamicum--RS_GCF_000011325.1,s__Corynebacterium_glutamicum,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium,81,2085,5409,2750.0,7494,244442,98.67,95.0,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,27.82,72.18,36.7,2.594,3018.0,RS_GCF_000011325.1,True
s__Collinsella_intestinalis--RS_GCF_000156175.1,s__Collinsella_intestinalis,d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella,15,1072,3226,2479.0,4298,23115,96.89,95.0,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,24.94,75.06,57.68,3.009,1541.0,RS_GCF_000156175.1,True
s__Bog-756_sp003138855--GB_GCA_003138855.1,s__Bog-756_sp003138855,d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__Bog-756,14,2609,3936,2645.0,6545,53555,99.82,95.0,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,RAAP-2,Bog-756,39.86,60.14,40.41,1.509,3825.0,GB_GCA_003138855.1,True
