gtdb_species_clade_id,GTDB_species,GTDB_taxonomy,no_genomes,no_core,no_accessory,no_singletons,no_gene_clusters,no_CDSes,mean_intra_species_ANI,ANI_circumscription_radius,domain,phylum,class,order,family,genus,pct_core,pct_accessory,pct_singletons,openness,avg_genes_per_genome,rep_genome,in_tree
s__Geothrix_sp903857495--GB_GCA_903857495.1,s__Geothrix_sp903857495,d__Bacteria;p__Acidobacteriota;c__Holophagae;o__Holophagales;f__Holophagaceae;g__Geothrix,50,2610,398,260.0,3008,157849,99.99,95.0,Bacteria,Acidobacteriota,Holophagae,Holophagales,Holophagaceae,Geothrix,86.77,13.23,8.64,0.152,3157.0,GB_GCA_903857495.1,True
s__Rathayibacter_rathayi--RS_GCF_004011095.1,s__Rathayibacter_rathayi,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Rathayibacter,27,2232,1678,471.0,3910,84152,99.62,95.0,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Microbacteriaceae,Rathayibacter,57.08,42.92,12.05,0.752,3117.0,RS_GCF_004011095.1,True
s__Nanopelagicus_sp001437855--GB_GCA_001437855.1,s__Nanopelagicus_sp001437855,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Nanopelagicales;f__Nanopelagicaceae;g__Nanopelagicus,12,646,2586,1757.0,3232,12698,96.4,95.0,Bacteria,Actinomycetota,Actinomycetia,Nanopelagicales,Nanopelagicaceae,Nanopelagicus,19.99,80.01,54.36,4.003,1058.0,GB_GCA_001437855.1,True
s__Trueperella_pyogenes--RS_GCF_900460345.1,s__Trueperella_pyogenes,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Trueperella,23,1494,1888,963.0,3382,47794,98.53,95.0,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Actinomycetaceae,Trueperella,44.18,55.82,28.47,1.264,2078.0,RS_GCF_900460345.1,True
s__UBA4592_sp002469525--GB_GCA_002469525.1,s__UBA4592_sp002469525,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Nanopelagicales;f__S36-B12;g__UBA4592,10,1396,3473,2394.0,4869,21064,99.23,95.0,Bacteria,Actinomycetota,Actinomycetia,Nanopelagicales,S36-B12,UBA4592,28.67,71.33,49.17,2.488,2106.0,GB_GCA_002469525.1,True
s__Rhodococcus_aetherivorans--RS_GCF_011058165.1,s__Rhodococcus_aetherivorans,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Rhodococcus,18,3385,5667,3393.0,9052,105478,98.95,95.0,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Rhodococcus,37.4,62.6,37.48,1.674,5860.0,RS_GCF_011058165.1,True
s__Mobiluncus_curtisii--RS_GCF_000146285.1,s__Mobiluncus_curtisii,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Mobiluncus,18,1458,1004,380.0,2462,33386,98.67,95.0,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Actinomycetaceae,Mobiluncus,59.22,40.78,15.43,0.689,1855.0,RS_GCF_000146285.1,True
s__Slackia_A_isoflavoniconvertens--RS_GCF_003725955.1,s__Slackia_A_isoflavoniconvertens,d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Slackia_A,18,1183,4429,3118.0,5612,31469,96.82,95.0,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Slackia_A,21.08,78.92,55.56,3.744,1748.0,RS_GCF_003725955.1,True
s__Rhodococcus_sp000954115--RS_GCF_000954115.1,s__Rhodococcus_sp000954115,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Rhodococcus,13,3412,2944,974.0,6356,72915,98.26,95.0,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Rhodococcus,53.68,46.32,15.32,0.863,5609.0,RS_GCF_000954115.1,True
s__Bifidobacterium_pseudocatenulatum--RS_GCF_001025215.1,s__Bifidobacterium_pseudocatenulatum,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium,170,1264,11001,6380.0,12265,315808,98.09,95.0,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,10.31,89.69,52.02,8.703,1858.0,RS_GCF_001025215.1,True
s__Microbacterium_ginsengisoli--RS_GCF_000956535.1,s__Microbacterium_ginsengisoli,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium,10,1894,2666,1612.0,4560,28392,98.7,95.0,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Microbacteriaceae,Microbacterium,41.54,58.46,35.35,1.408,2839.0,RS_GCF_000956535.1,True
s__Corynebacterium_stationis--RS_GCF_001941345.1,s__Corynebacterium_stationis,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium,13,1802,3430,2331.0,5232,33452,97.86,95.0,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,34.44,65.56,44.55,1.903,2573.0,RS_GCF_001941345.1,True
s__Casp-actino8_sp009923785--GB_GCA_009923785.1,s__Casp-actino8_sp009923785,d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__Casp-actino8,11,1610,1879,1472.0,3489,25234,98.68,95.0,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Casp-actino8,46.15,53.85,42.19,1.167,2294.0,GB_GCA_009923785.1,True
s__Adlercreutzia_muris--RS_GCF_008831045.1,s__Adlercreutzia_muris,d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Adlercreutzia,10,1348,1984,1022.0,3332,22104,97.98,95.0,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Adlercreutzia,40.46,59.54,30.67,1.472,2210.0,RS_GCF_008831045.1,True
